p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.0    0.01   BASICTOOL     -1.0          1.0           -1.0          0.659         -4.408        0.005         0.817         -2.206        0.004         0.82          -2.201        0.004         48896.0       0.0           
0.01   0.01   BASICTOOL     -1.0          1.0           -1.0          0.659         -4.408        0.005         0.817         -2.206        0.004         0.82          -2.201        0.004         48896.0       0.0           
0.02   0.01   BASICTOOL     -1.0          1.0           -1.0          0.714         -3.368        0.004         0.847         -1.688        0.003         0.85          -1.68         0.004         48896.0       0.0           
0.03   0.01   BASICTOOL     -1.0          1.0           -1.0          0.912         -0.62         0.002         0.954         -0.325        0.002         0.953         -0.295        0.002         49340.0       0.0           
0.04   0.01   BASICTOOL     -1.0          1.0           -1.0          0.885         -0.318        0.001         0.951         -0.209        0.001         0.931         -0.109        0.001         49765.0       0.0           
0.05   0.01   BASICTOOL     -1.0          1.0           -1.0          0.829         0.308         0.001         0.936         0.064         0.001         0.889         0.243         0.001         49912.0       0.0           
0.06   0.01   BASICTOOL     -1.0          1.0           -1.0          0.727         1.136         0.001         0.836         0.75          0.001         0.883         0.386         0.0           49926.0       0.0           
0.07   0.01   BASICTOOL     -1.0          1.0           -1.0          0.482         2.64          0.001         0.597         2.125         0.001         0.867         0.515         0.001         49931.0       0.0           
0.08   0.01   BASICTOOL     -1.0          1.0           -1.0          0.335         3.695         0.001         0.445         3.064         0.001         0.857         0.631         0.001         49933.0       0.0           
0.09   0.01   BASICTOOL     -1.0          1.0           -1.0          0.207         4.719         0.001         0.334         3.794         0.001         0.83          0.925         0.001         49934.0       0.0           
0.1    0.01   BASICTOOL     -1.0          1.0           -1.0          0.097         5.71          0.001         0.22          4.534         0.001         0.806         1.176         0.001         49934.0       0.0           
-1     0.011  SCOPA         -1.0          1.0           0.0           0.642         1.807         0.001         0.674         1.798         0.001         0.957         0.009         0.001         49998.0       0.0           
0.0    0.011  BASICTOOL     -1.0          1.0           -1.0          0.628         -4.798        0.005         0.805         -2.353        0.004         0.798         -2.445        0.004         48787.0       0.0           
0.01   0.011  BASICTOOL     -1.0          1.0           -1.0          0.628         -4.798        0.005         0.805         -2.353        0.004         0.798         -2.445        0.004         48787.0       0.0           
0.02   0.011  BASICTOOL     -1.0          1.0           -1.0          0.689         -3.68         0.004         0.837         -1.814        0.004         0.831         -1.866        0.004         48787.0       0.0           
0.03   0.011  BASICTOOL     -1.0          1.0           -1.0          0.899         -0.744        0.002         0.949         -0.373        0.002         0.945         -0.37         0.002         49218.0       0.0           
0.04   0.011  BASICTOOL     -1.0          1.0           -1.0          0.873         -0.435        0.001         0.946         -0.259        0.001         0.923         -0.175        0.001         49761.0       0.0           
0.05   0.011  BASICTOOL     -1.0          1.0           -1.0          0.826         0.219         0.001         0.934         0.018         0.001         0.887         0.202         0.001         49913.0       0.0           
0.06   0.011  BASICTOOL     -1.0          1.0           -1.0          0.73          1.064         0.001         0.838         0.714         0.001         0.884         0.35          0.0           49927.0       0.0           
0.07   0.011  BASICTOOL     -1.0          1.0           -1.0          0.494         2.532         0.001         0.608         2.048         0.001         0.866         0.485         0.001         49930.0       0.0           
0.08   0.011  BASICTOOL     -1.0          1.0           -1.0          0.347         3.577         0.001         0.454         2.984         0.001         0.856         0.593         0.001         49934.0       0.0           
0.09   0.011  BASICTOOL     -1.0          1.0           -1.0          0.217         4.619         0.001         0.342         3.73          0.001         0.828         0.889         0.001         49937.0       0.0           
0.1    0.011  BASICTOOL     -1.0          1.0           -1.0          0.105         5.62          0.001         0.228         4.478         0.001         0.804         1.142         0.001         49938.0       0.0           
-1     0.012  SCOPA         -1.0          1.0           0.0           0.638         1.79          0.001         0.671         1.786         0.001         0.954         0.004         0.001         50000.0       0.0           
0.0    0.012  BASICTOOL     -1.0          1.0           -1.0          0.607         -5.162        0.005         0.789         -2.577        0.004         0.788         -2.585        0.004         48641.0       0.0           
0.01   0.012  BASICTOOL     -1.0          1.0           -1.0          0.607         -5.162        0.005         0.789         -2.577        0.004         0.788         -2.585        0.004         48641.0       0.0           
0.02   0.012  BASICTOOL     -1.0          1.0           -1.0          0.668         -4.009        0.004         0.823         -1.992        0.004         0.82          -2.016        0.004         48641.0       0.0           
0.03   0.012  BASICTOOL     -1.0          1.0           -1.0          0.887         -0.838        0.002         0.941         -0.418        0.002         0.939         -0.42         0.002         49100.0       0.0           
0.04   0.012  BASICTOOL     -1.0          1.0           -1.0          0.864         -0.526        0.001         0.939         -0.301        0.001         0.919         -0.225        0.001         49717.0       0.0           
0.05   0.012  BASICTOOL     -1.0          1.0           -1.0          0.822         0.148         0.001         0.93          -0.01         0.001         0.885         0.157         0.001         49915.0       0.0           
0.06   0.012  BASICTOOL     -1.0          1.0           -1.0          0.732         0.966         0.001         0.841         0.64          0.001         0.88          0.327         0.0           49925.0       0.0           
0.07   0.012  BASICTOOL     -1.0          1.0           -1.0          0.501         2.422         0.001         0.617         1.944         0.001         0.863         0.478         0.001         49929.0       0.0           
0.08   0.012  BASICTOOL     -1.0          1.0           -1.0          0.356         3.477         0.001         0.465         2.892         0.001         0.853         0.585         0.001         49937.0       0.0           
0.09   0.012  BASICTOOL     -1.0          1.0           -1.0          0.225         4.525         0.001         0.35          3.662         0.001         0.827         0.863         0.001         49940.0       0.0           
0.1    0.012  BASICTOOL     -1.0          1.0           -1.0          0.11          5.541         0.001         0.231         4.436         0.001         0.806         1.105         0.001         49942.0       0.0           
-1     0.013000000000000001SCOPA         -1.0          1.0           0.0           0.634         1.777         0.001         0.669         1.781         0.001         0.951         -0.005        0.0           49999.0       0.0           
0.0    0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.581         -5.534        0.005         0.775         -2.744        0.004         0.771         -2.79         0.004         48478.0       0.0           
0.01   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.581         -5.534        0.005         0.775         -2.744        0.004         0.771         -2.79         0.004         48478.0       0.0           
0.02   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.645         -4.3          0.004         0.81          -2.147        0.004         0.807         -2.153        0.004         48478.0       0.0           
0.03   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.877         -0.942        0.002         0.936         -0.481        0.002         0.934         -0.461        0.002         48997.0       0.0           
0.04   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.857         -0.612        0.001         0.935         -0.348        0.002         0.917         -0.264        0.001         49677.0       0.0           
0.05   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.821         0.071         0.001         0.927         -0.047        0.001         0.887         0.117         0.001         49906.0       0.0           
0.06   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.737         0.896         0.001         0.844         0.594         0.001         0.882         0.302         0.001         49929.0       0.0           
0.07   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.512         2.324         0.001         0.627         1.869         0.001         0.862         0.455         0.001         49931.0       0.0           
0.08   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.367         3.372         0.001         0.479         2.795         0.001         0.851         0.577         0.001         49938.0       0.0           
0.09   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.234         4.435         0.001         0.358         3.596         0.001         0.829         0.84          0.001         49941.0       0.0           
0.1    0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.117         5.456         0.001         0.236         4.386         0.001         0.808         1.07          0.001         49944.0       0.0           
-1     0.014  SCOPA         -1.0          1.0           0.0           0.631         1.763         0.001         0.668         1.774         0.001         0.949         -0.011        0.0           50000.0       0.0           
0.0    0.014  BASICTOOL     -1.0          1.0           -1.0          0.561         -5.804        0.005         0.764         -2.893        0.004         0.761         -2.911        0.004         48184.0       0.0           
0.01   0.014  BASICTOOL     -1.0          1.0           -1.0          0.561         -5.804        0.005         0.764         -2.893        0.004         0.761         -2.911        0.004         48184.0       0.0           
0.02   0.014  BASICTOOL     -1.0          1.0           -1.0          0.628         -4.543        0.004         0.798         -2.284        0.004         0.798         -2.259        0.004         48184.0       0.0           
