p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.05   0.01   BASICTOOL     -1.0          1.0           0.0           0.891         -0.129        0.002         0.935         -0.898        0.014         0.93          0.769         0.013         26318.0       0.0           
0.06   0.01   BASICTOOL     -1.0          1.0           0.0           0.866         0.057         0.001         0.937         -0.884        0.014         0.902         0.94          0.01          26319.0       0.0           
0.07   0.01   BASICTOOL     -1.0          1.0           0.0           0.858         0.198         0.002         0.933         -1.023        0.016         0.893         1.221         0.012         26324.0       0.0           
0.08   0.01   BASICTOOL     -1.0          1.0           0.0           0.831         0.471         0.002         0.933         -1.022        0.016         0.864         1.493         0.01          26369.0       0.0           
0.09   0.01   BASICTOOL     -1.0          1.0           0.0           0.788         0.967         0.003         0.938         -0.867        0.014         0.82          1.834         0.008         26765.0       0.0           
0.1    0.01   BASICTOOL     -1.0          1.0           0.0           0.753         1.315         0.003         0.934         -0.978        0.015         0.783         2.293         0.008         27535.0       0.0           
-1     0.011  SCOPA         -1.0          1.0           0.0           0.69          0.481         0.002         0.763         -3.979        0.013         0.806         4.46          0.013         55700.0       0.0           
0.0    0.011  BASICTOOL     -1.0          1.0           0.0           0.818         -1.567        0.006         0.889         -1.197        0.009         0.911         -0.37         0.011         22866.0       0.0           
0.01   0.011  BASICTOOL     -1.0          1.0           0.0           0.818         -1.567        0.006         0.889         -1.197        0.009         0.911         -0.37         0.011         22866.0       0.0           
0.02   0.011  BASICTOOL     -1.0          1.0           0.0           0.845         -1.079        0.005         0.905         -0.947        0.009         0.922         -0.132        0.01          22866.0       0.0           
0.03   0.011  BASICTOOL     -1.0          1.0           0.0           0.876         -0.615        0.003         0.922         -0.728        0.009         0.94          0.113         0.01          22920.0       0.0           
0.04   0.011  BASICTOOL     -1.0          1.0           0.0           0.906         -0.29         0.002         0.943         -0.566        0.01          0.951         0.277         0.01          23815.0       0.0           
0.05   0.011  BASICTOOL     -1.0          1.0           0.0           0.885         -0.169        0.002         0.932         -0.936        0.014         0.926         0.767         0.013         26318.0       0.0           
0.06   0.011  BASICTOOL     -1.0          1.0           0.0           0.861         0.016         0.001         0.933         -0.92         0.014         0.9           0.936         0.01          26320.0       0.0           
0.07   0.011  BASICTOOL     -1.0          1.0           0.0           0.853         0.162         0.002         0.93          -1.051        0.016         0.89          1.212         0.011         26341.0       0.0           
0.08   0.011  BASICTOOL     -1.0          1.0           0.0           0.827         0.435         0.002         0.931         -1.046        0.016         0.862         1.481         0.01          26382.0       0.0           
0.09   0.011  BASICTOOL     -1.0          1.0           0.0           0.784         0.926         0.003         0.936         -0.907        0.014         0.817         1.834         0.008         26787.0       0.0           
0.1    0.011  BASICTOOL     -1.0          1.0           0.0           0.75          1.262         0.003         0.931         -1.019        0.015         0.78          2.281         0.008         27606.0       0.0           
-1     0.012  SCOPA         -1.0          1.0           0.0           0.682         0.434         0.002         0.756         -4.254        0.013         0.8           4.688         0.014         56005.0       0.0           
0.0    0.012  BASICTOOL     -1.0          1.0           0.0           0.809         -1.7          0.007         0.885         -1.246        0.01          0.905         -0.454        0.011         22606.0       0.0           
0.01   0.012  BASICTOOL     -1.0          1.0           0.0           0.809         -1.7          0.007         0.885         -1.246        0.01          0.905         -0.454        0.011         22606.0       0.0           
0.02   0.012  BASICTOOL     -1.0          1.0           0.0           0.837         -1.205        0.005         0.899         -1.024        0.009         0.919         -0.181        0.01          22606.0       0.0           
0.03   0.012  BASICTOOL     -1.0          1.0           0.0           0.867         -0.703        0.003         0.916         -0.773        0.008         0.936         0.07          0.01          22668.0       0.0           
0.04   0.012  BASICTOOL     -1.0          1.0           0.0           0.901         -0.339        0.002         0.938         -0.59         0.009         0.95          0.251         0.01          23637.0       0.0           
0.05   0.012  BASICTOOL     -1.0          1.0           0.0           0.881         -0.206        0.002         0.928         -0.956        0.013         0.926         0.75          0.013         26288.0       0.0           
0.06   0.012  BASICTOOL     -1.0          1.0           0.0           0.858         -0.005        0.002         0.93          -0.936        0.013         0.9           0.931         0.01          26292.0       0.0           
0.07   0.012  BASICTOOL     -1.0          1.0           0.0           0.851         0.145         0.002         0.926         -1.06         0.015         0.891         1.205         0.011         26314.0       0.0           
0.08   0.012  BASICTOOL     -1.0          1.0           0.0           0.824         0.428         0.002         0.928         -1.055        0.015         0.862         1.483         0.01          26370.0       0.0           
0.09   0.012  BASICTOOL     -1.0          1.0           0.0           0.782         0.918         0.003         0.933         -0.918        0.014         0.818         1.836         0.008         26780.0       0.0           
0.1    0.012  BASICTOOL     -1.0          1.0           0.0           0.749         1.247         0.003         0.928         -1.028        0.014         0.783         2.275         0.008         27614.0       0.0           
-1     0.013000000000000001SCOPA         -1.0          1.0           0.0           0.681         0.543         0.002         0.758         -4.017        0.013         0.8           4.56          0.014         55709.0       0.0           
0.0    0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.796         -1.864        0.007         0.876         -1.342        0.009         0.898         -0.521        0.011         22327.0       0.0           
0.01   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.796         -1.864        0.007         0.876         -1.342        0.009         0.898         -0.521        0.011         22327.0       0.0           
0.02   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.826         -1.321        0.006         0.893         -1.081        0.009         0.913         -0.24         0.01          22327.0       0.0           
0.03   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.859         -0.761        0.003         0.911         -0.804        0.008         0.933         0.043         0.009         22391.0       0.0           
0.04   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.898         -0.367        0.003         0.936         -0.604        0.009         0.949         0.237         0.01          23397.0       0.0           
0.05   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.879         -0.238        0.002         0.926         -0.974        0.013         0.925         0.735         0.012         26238.0       0.0           
0.06   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.856         -0.039        0.002         0.928         -0.953        0.013         0.9           0.914         0.01          26241.0       0.0           
0.07   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.85          0.107         0.002         0.925         -1.092        0.015         0.891         1.199         0.012         26270.0       0.0           
0.08   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.825         0.375         0.002         0.926         -1.089        0.015         0.864         1.464         0.01          26336.0       0.0           
0.09   0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.782         0.864         0.003         0.931         -0.949        0.014         0.82          1.813         0.008         26731.0       0.0           
0.1    0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.75          1.179         0.003         0.926         -1.054        0.014         0.785         2.233         0.008         27573.0       0.0           
-1     0.014  SCOPA         -1.0          1.0           0.0           0.677         0.582         0.002         0.756         -4.017        0.013         0.795         4.6           0.013         55700.0       0.0           
0.0    0.014  BASICTOOL     -1.0          1.0           0.0           0.783         -1.965        0.007         0.867         -1.428        0.009         0.894         -0.537        0.011         22110.0       0.0           
0.01   0.014  BASICTOOL     -1.0          1.0           0.0           0.783         -1.965        0.007         0.867         -1.428        0.009         0.894         -0.537        0.011         22110.0       0.0           
0.02   0.014  BASICTOOL     -1.0          1.0           0.0           0.814         -1.423        0.006         0.885         -1.151        0.009         0.907         -0.272        0.01          22110.0       0.0           
0.03   0.014  BASICTOOL     -1.0          1.0           0.0           0.848         -0.834        0.003         0.905         -0.855        0.008         0.926         0.02          0.009         22183.0       0.0           
0.04   0.014  BASICTOOL     -1.0          1.0           0.0           0.888         -0.409        0.003         0.93          -0.636        0.009         0.943         0.227         0.009         23275.0       0.0           
0.05   0.014  BASICTOOL     -1.0          1.0           0.0           0.87          -0.274        0.002         0.92          -1.006        0.012         0.922         0.732         0.012         26203.0       0.0           
0.06   0.014  BASICTOOL     -1.0          1.0           0.0           0.85          -0.068        0.002         0.923         -0.977        0.013         0.898         0.91          0.009         26204.0       0.0           
