p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.07   0.01   BASICTOOL     -1.0          1.0           -1.0          0.276         -7.908        0.016         0.338         -9.166        0.036         0.863         1.257         0.059         15325.0       0.0           
0.08   0.01   BASICTOOL     -1.0          1.0           -1.0          0.261         -7.594        0.016         0.329         -9.063        0.036         0.838         1.47          0.05          15334.0       0.0           
0.09   0.01   BASICTOOL     -1.0          1.0           -1.0          0.238         -7.416        0.015         0.319         -10.586       0.059         0.791         3.17          0.099         15532.0       0.0           
0.1    0.01   BASICTOOL     -1.0          1.0           0.0           0.214         -7.266        0.016         0.312         -11.573       0.073         0.739         4.307         0.099         15748.0       0.0           
-1     0.011  SCOPA         -1.0          1.0           0.0           0.941         -0.255        0.002         0.973         -1.268        0.269         0.964         1.013         0.161         49900.0       0.0           
0.0    0.011  BASICTOOL     -1.0          1.0           -1.0          0.228         -11.87        0.023         0.294         -10.789       0.036         0.84          -1.081        0.057         15197.0       0.0           
0.01   0.011  BASICTOOL     -1.0          1.0           -1.0          0.228         -11.87        0.023         0.294         -10.789       0.036         0.84          -1.081        0.057         15197.0       0.0           
0.02   0.011  BASICTOOL     -1.0          1.0           -1.0          0.244         -11.135       0.021         0.305         -10.427       0.035         0.855         -0.708        0.058         15197.0       0.0           
0.03   0.011  BASICTOOL     -1.0          1.0           -1.0          0.321         -8.998        0.018         0.349         -9.374        0.035         0.927         0.376         0.1           15311.0       0.0           
0.04   0.011  BASICTOOL     -1.0          1.0           -1.0          0.298         -8.698        0.016         0.336         -9.29         0.032         0.923         0.592         0.087         15773.0       0.0           
0.05   0.011  BASICTOOL     -1.0          1.0           -1.0          0.293         -8.679        0.016         0.331         -9.411        0.031         0.912         0.732         0.071         16178.0       0.0           
0.06   0.011  BASICTOOL     -1.0          1.0           -1.0          0.282         -8.429        0.016         0.324         -9.324        0.031         0.898         0.896         0.061         16182.0       0.0           
0.07   0.011  BASICTOOL     -1.0          1.0           -1.0          0.261         -8.119        0.015         0.32          -9.244        0.031         0.863         1.125         0.046         16190.0       0.0           
0.08   0.011  BASICTOOL     -1.0          1.0           -1.0          0.248         -7.829        0.015         0.311         -9.164        0.03          0.84          1.335         0.04          16209.0       0.0           
0.09   0.011  BASICTOOL     -1.0          1.0           -1.0          0.226         -7.676        0.014         0.302         -10.691       0.051         0.794         3.015         0.088         16419.0       0.0           
0.1    0.011  BASICTOOL     -1.0          1.0           0.0           0.204         -7.502        0.015         0.296         -11.579       0.063         0.743         4.077         0.089         16626.0       0.0           
-1     0.012  SCOPA         -1.0          1.0           0.0           0.937         -0.264        0.001         0.971         -1.273        0.252         0.961         1.009         0.151         49900.0       0.0           
0.0    0.012  BASICTOOL     -1.0          1.0           -1.0          0.208         -12.139       0.021         0.275         -10.823       0.032         0.829         -1.316        0.049         15774.0       0.0           
0.01   0.012  BASICTOOL     -1.0          1.0           -1.0          0.208         -12.139       0.021         0.275         -10.823       0.032         0.829         -1.316        0.049         15774.0       0.0           
0.02   0.012  BASICTOOL     -1.0          1.0           -1.0          0.224         -11.38        0.02          0.284         -10.499       0.032         0.847         -0.88         0.05          15774.0       0.0           
0.03   0.012  BASICTOOL     -1.0          1.0           -1.0          0.305         -9.112        0.017         0.331         -9.368        0.031         0.922         0.257         0.082         15893.0       0.0           
0.04   0.012  BASICTOOL     -1.0          1.0           -1.0          0.28          -8.804        0.015         0.316         -9.279        0.028         0.922         0.475         0.074         16480.0       0.0           
0.05   0.012  BASICTOOL     -1.0          1.0           -1.0          0.279         -8.743        0.015         0.313         -9.412        0.028         0.913         0.669         0.063         16915.0       0.0           
0.06   0.012  BASICTOOL     -1.0          1.0           -1.0          0.27          -8.468        0.014         0.309         -9.312        0.027         0.895         0.844         0.052         16918.0       0.0           
0.07   0.012  BASICTOOL     -1.0          1.0           -1.0          0.25          -8.182        0.014         0.306         -9.239        0.027         0.864         1.057         0.04          16930.0       0.0           
0.08   0.012  BASICTOOL     -1.0          1.0           -1.0          0.237         -7.891        0.014         0.297         -9.153        0.027         0.838         1.262         0.034         16950.0       0.0           
0.09   0.012  BASICTOOL     -1.0          1.0           -1.0          0.217         -7.746        0.013         0.289         -10.512       0.045         0.798         2.766         0.077         17155.0       0.0           
0.1    0.012  BASICTOOL     -1.0          1.0           -1.0          0.197         -7.595        0.014         0.282         -11.358       0.055         0.75          3.763         0.079         17374.0       0.0           
-1     0.013000000000000001SCOPA         -1.0          1.0           0.0           0.929         -0.284        0.001         0.968         -1.281        0.228         0.956         0.997         0.134         49900.0       0.0           
0.0    0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.192         -12.355       0.02          0.259         -10.999       0.03          0.819         -1.356        0.044         16364.0       0.0           
0.01   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.192         -12.355       0.02          0.259         -10.999       0.03          0.819         -1.356        0.044         16364.0       0.0           
0.02   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.208         -11.594       0.019         0.269         -10.623       0.03          0.835         -0.972        0.045         16364.0       0.0           
0.03   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.289         -9.206        0.016         0.318         -9.44         0.029         0.915         0.234         0.071         16519.0       0.0           
0.04   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.267         -8.936        0.014         0.305         -9.354        0.026         0.913         0.419         0.062         17140.0       0.0           
0.05   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.267         -8.917        0.014         0.301         -9.519        0.026         0.907         0.601         0.054         17652.0       0.0           
0.06   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.257         -8.614        0.014         0.296         -9.416        0.025         0.893         0.802         0.047         17659.0       0.0           
0.07   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.239         -8.325        0.013         0.292         -9.338        0.025         0.861         1.014         0.036         17673.0       0.0           
0.08   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.227         -8.05         0.013         0.284         -9.273        0.025         0.837         1.223         0.031         17706.0       0.0           
0.09   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.208         -7.885        0.013         0.277         -10.467       0.04          0.795         2.582         0.066         17907.0       0.0           
0.1    0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.19          -7.748        0.013         0.271         -11.278       0.049         0.748         3.531         0.069         18136.0       0.0           
-1     0.014  SCOPA         -1.0          1.0           0.0           0.926         -0.292        0.001         0.967         -1.283        0.224         0.954         0.991         0.126         49900.0       0.0           
0.0    0.014  BASICTOOL     -1.0          1.0           -1.0          0.179         -12.676       0.02          0.245         -11.123       0.027         0.816         -1.554        0.037         16867.0       0.0           
0.01   0.014  BASICTOOL     -1.0          1.0           -1.0          0.179         -12.676       0.02          0.245         -11.123       0.027         0.816         -1.554        0.037         16867.0       0.0           
0.02   0.014  BASICTOOL     -1.0          1.0           -1.0          0.195         -11.892       0.019         0.255         -10.724       0.026         0.832         -1.168        0.037         16867.0       0.0           
0.03   0.014  BASICTOOL     -1.0          1.0           -1.0          0.274         -9.457        0.016         0.303         -9.498        0.025         0.911         0.041         0.056         17032.0       0.0           
