p    e    name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.15           0.08           BASICTOOL     -1.0          0.999         1.0           0.384         2.263         0.001         0.591         1.668         0.001         0.675         0.596         0.001         47600.0       0.0           
0.2            0.08           BASICTOOL     -1.0          1.0           1.0           0.196         7.703         0.003         0.368         6.016         0.003         0.635         1.687         0.001         47600.0       0.0           
0.25           0.08           BASICTOOL     -1.0          1.0           1.0           0.077         13.896        0.006         0.2           10.872        0.005         0.584         3.024         0.002         47600.0       0.0           
0.3            0.08           BASICTOOL     -1.0          1.0           0.999         0.039         19.213        0.01          0.097         15.46         0.008         0.55          3.754         0.003         47600.0       0.0           
0.35           0.08           BASICTOOL     -1.0          1.0           0.994         0.017         25.477        0.017         0.035         21.547        0.013         0.544         3.93          0.003         47600.0       0.0           
0.4            0.08           BASICTOOL     -1.0          1.0           0.979         0.008         33.454        0.03          0.013         29.443        0.024         0.538         4.011         0.003         47600.0       0.0           
0.45           0.08           BASICTOOL     -1.0          1.0           0.94          0.006         44.15         0.052         0.009         40.135        0.045         0.538         4.014         0.003         47600.0       0.0           
0.5            0.08           BASICTOOL     -1.0          1.0           0.821         0.005         62.789        0.101         0.006         58.729        0.091         0.533         4.059         0.003         47600.0       0.0           
0.55           0.08           BASICTOOL     -1.0          1.0           0.66          0.003         85.709        0.187         0.004         81.947        0.177         0.513         3.763         0.01          47600.0       0.0           
-1             0.09           SCOPA         -1.0          1.0           1.0           0.565         -1.284        0.0           0.752         -0.635        0.0           0.751         -0.649        0.0           47600.0       0.0           
0.05           0.09           BASICTOOL     -1.0          0.874         1.0           0.177         -15.018       0.011         0.436         -7.369        0.007         0.427         -7.65         0.007         47600.0       0.0           
0.1            0.09           BASICTOOL     -1.0          0.978         1.0           0.42          -4.171        0.003         0.643         -2.025        0.002         0.644         -2.146        0.002         47600.0       0.0           
0.15           0.09           BASICTOOL     -1.0          0.997         1.0           0.383         1.404         0.001         0.596         1.119         0.001         0.659         0.286         0.001         47600.0       0.0           
0.2            0.09           BASICTOOL     -1.0          1.0           1.0           0.209         6.78          0.002         0.39          5.288         0.002         0.621         1.492         0.001         47600.0       0.0           
0.25           0.09           BASICTOOL     -1.0          1.0           1.0           0.087         12.96         0.005         0.216         10.184        0.004         0.578         2.776         0.002         47600.0       0.0           
0.3            0.09           BASICTOOL     -1.0          1.0           0.999         0.04          18.519        0.009         0.106         14.842        0.007         0.536         3.677         0.003         47600.0       0.0           
0.35           0.09           BASICTOOL     -1.0          1.0           0.994         0.019         24.62         0.016         0.04          20.728        0.012         0.53          3.892         0.003         47600.0       0.0           
0.4            0.09           BASICTOOL     -1.0          1.0           0.98          0.009         32.584        0.028         0.014         28.622        0.023         0.525         3.961         0.003         47600.0       0.0           
0.45           0.09           BASICTOOL     -1.0          1.0           0.939         0.006         42.951        0.049         0.009         38.929        0.043         0.523         4.023         0.003         47600.0       0.0           
0.5            0.09           BASICTOOL     -1.0          1.0           0.818         0.005         61.279        0.097         0.006         57.265        0.087         0.52          4.014         0.003         47600.0       0.0           
0.55           0.09           BASICTOOL     -1.0          1.0           0.661         0.003         84.07         0.18          0.003         80.424        0.171         0.499         3.646         0.011         47600.0       0.0           
-1             0.1            SCOPA         -1.0          1.0           1.0           0.531         -1.44         0.0           0.731         -0.71         0.0           0.728         -0.73         0.0           47600.0       0.0           
0.05           0.1            BASICTOOL     -1.0          0.835         1.0           0.135         -16.917       0.013         0.392         -8.204        0.007         0.381         -8.713        0.008         47600.0       0.0           
0.1            0.1            BASICTOOL     -1.0          0.967         1.0           0.367         -5.731        0.004         0.601         -2.765        0.003         0.6           -2.965        0.003         47600.0       0.0           
0.15           0.1            BASICTOOL     -1.0          0.996         1.0           0.379         0.495         0.001         0.597         0.597         0.001         0.645         -0.102        0.001         47600.0       0.0           
0.2            0.1            BASICTOOL     -1.0          1.0           1.0           0.226         5.836         0.002         0.414         4.563         0.002         0.614         1.273         0.001         47600.0       0.0           
0.25           0.1            BASICTOOL     -1.0          1.0           1.0           0.098         12.057        0.005         0.231         9.475         0.004         0.57          2.582         0.002         47600.0       0.0           
0.3            0.1            BASICTOOL     -1.0          1.0           0.999         0.043         17.774        0.009         0.117         14.201        0.007         0.529         3.573         0.003         47600.0       0.0           
0.35           0.1            BASICTOOL     -1.0          1.0           0.994         0.021         23.795        0.015         0.046         19.954        0.012         0.52          3.842         0.003         47600.0       0.0           
0.4            0.1            BASICTOOL     -1.0          1.0           0.979         0.009         31.759        0.027         0.015         27.822        0.022         0.515         3.937         0.003         47600.0       0.0           
0.45           0.1            BASICTOOL     -1.0          1.0           0.941         0.006         41.776        0.047         0.009         37.734        0.04          0.511         4.042         0.003         47600.0       0.0           
0.5            0.1            BASICTOOL     -1.0          1.0           0.821         0.005         59.735        0.092         0.006         55.729        0.083         0.509         4.007         0.003         47600.0       0.0           
0.55           0.1            BASICTOOL     -1.0          1.0           0.663         0.003         82.512        0.174         0.004         78.901        0.165         0.489         3.612         0.011         47600.0       0.0           
