p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.07   0.007  BASICTOOL     -1.0          1.0           0.0           0.915         0.28          0.001         0.938         0.241         0.001         0.976         0.039         0.0           39440.0       0.0           
0.08   0.007  BASICTOOL     -1.0          1.0           0.0           0.897         0.406         0.001         0.923         0.34          0.001         0.971         0.067         0.001         39473.0       0.0           
0.09   0.007  BASICTOOL     -1.0          1.0           0.0           0.872         0.617         0.001         0.901         0.531         0.001         0.969         0.087         0.001         39697.0       0.0           
0.1    0.007  BASICTOOL     -1.0          1.0           0.0           0.833         0.866         0.001         0.875         0.7           0.001         0.953         0.166         0.001         40466.0       0.0           
-1     0.008  SCOPA         -1.0          1.0           0.0           0.953         0.095         0.004         0.975         0.138         0.007         0.978         -0.043        0.0           46426.0       0.0           
0.0    0.008  BASICTOOL     -1.0          1.0           0.0           0.854         -1.612        0.005         0.924         -0.798        0.005         0.924         -0.814        0.005         36230.0       0.0           
0.01   0.008  BASICTOOL     -1.0          1.0           0.0           0.854         -1.612        0.005         0.924         -0.798        0.005         0.924         -0.814        0.005         36230.0       0.0           
0.02   0.008  BASICTOOL     -1.0          1.0           0.0           0.899         -0.866        0.004         0.947         -0.429        0.003         0.947         -0.437        0.003         36230.0       0.0           
0.03   0.008  BASICTOOL     -1.0          1.0           0.0           0.933         -0.359        0.002         0.966         -0.179        0.001         0.966         -0.18         0.002         36305.0       0.0           
0.04   0.008  BASICTOOL     -1.0          1.0           0.0           0.954         -0.089        0.001         0.973         -0.026        0.001         0.98          -0.062        0.001         37398.0       0.0           
0.05   0.008  BASICTOOL     -1.0          1.0           0.0           0.955         -0.033        0.0           0.971         0.013         0.0           0.982         -0.046        0.0           39359.0       0.0           
0.06   0.008  BASICTOOL     -1.0          1.0           0.0           0.942         0.077         0.0           0.96          0.09          0.0           0.98          -0.012        0.0           39364.0       0.0           
0.07   0.008  BASICTOOL     -1.0          1.0           0.0           0.915         0.246         0.001         0.939         0.217         0.001         0.974         0.029         0.0           39373.0       0.0           
